Place,Var
country/BRA,LifeExpectancy_Person_Female
country/BRA,LifeExpectancy_Person_Male
country/BRA,Max_Temperature
country/BRA,Min_Temperature
country/BRA,PrecipitationRate
country/BRA,WHO/CM_01
country/BRA,WHO/CM_02
country/BRA,WHO/CM_03
country/BRA,WHO/GDO_q35
country/BRA,WHO/LBW_PREVALENCE
country/BRA,WHO/MORT_MATERNALNUM
country/BRA,WHO/M_Est_smk_daily
country/BRA,WHO/NCD_BMI_18A
country/BRA,WHO/NCD_BMI_30A
country/BRA,WHO/NCD_PAC
country/BRA,WHO/NTD_LEISHCNUM
country/BRA,WHO/NTD_LEISHVNUM
country/BRA,WHO/NTD_LEPR5
country/BRA,WHO/NUTOVERWEIGHTPREV
country/BRA,WHO/NUTRITION_ANAEMIA_CHILDREN_PREV
country/BRA,WHO/NUTRITION_WA_2
country/BRA,WHO/NUTRITION_WH_2
country/BRA,WHO/NUTRITION_WH_3
country/BRA,WHO/NUTSTUNTINGPREV
country/BRA,WHO/SA_0000001418
country/BRA,WHO/SA_0000001419
country/BRA,WHO/SA_0000001420
country/BRA,WHO/SA_0000001421
country/BRA,WHO/SA_0000001422
country/BRA,WHO/SA_0000001423
country/BRA,WHO/SA_0000001424
country/BRA,WHO/SA_0000001425
country/BRA,WHO/SA_0000001426
country/BRA,WHO/SA_0000001427
country/BRA,WHO/SA_0000001429
country/BRA,WHO/SA_0000001430
country/BRA,WHO/SA_0000001431
country/BRA,WHO/SA_0000001432
country/BRA,WHO/SA_0000001433
country/BRA,WHO/SA_0000001434
country/BRA,WHO/SA_0000001435
country/BRA,WHO/SA_0000001436
country/BRA,WHO/SA_0000001437
country/BRA,WHO/SA_0000001438
country/BRA,WHO/SA_0000001439
country/BRA,WHO/SA_0000001440
country/BRA,WHO/SA_0000001441
country/BRA,WHO/SA_0000001442
country/BRA,WHO/SA_0000001443
country/BRA,WHO/SA_0000001444
country/BRA,WHO/SA_0000001445
country/BRA,WHO/SA_0000001446
country/BRA,WHO/SA_0000001448
country/BRA,WHO/SA_0000001449
country/BRA,WHO/SA_0000001450
country/BRA,WHO/SA_0000001451
country/BRA,WHO/SA_0000001452
country/BRA,WHO/SA_0000001453
country/BRA,WHO/SA_0000001454
country/BRA,WHO/SA_0000001455
country/BRA,WHO/SA_0000001456
country/BRA,WHO/SA_0000001458
country/BRA,WHO/SA_0000001460
country/BRA,WHO/SA_0000001689
country/BRA,WHO/SA_0000001690
country/BRA,WHO/SDG_SH_DTH_RNCOM_ChronicRespiratoryDiseases
country/BRA,WHO/SDG_SH_DTH_RNCOM_DiabetesMellitus
country/BRA,WHO/SDG_SH_DTH_RNCOM_MajorCardiovascularDiseases
country/BRA,WHO/SDG_SH_DTH_RNCOM_MalignantNeoplasms
country/BRA,WHO/WHS4_117
country/BRA,WHO/WHS4_128
country/BRA,WHO/WHS4_129
country/BRA,WHO/WHS4_543
country/BRA,WHO/WHS8_110
country/BRA,WHO/bcgv_Female
country/BRA,WHO/bcgv_Male
country/BRA,WHO/bcgv_Rural
country/BRA,WHO/bcgv_Urban
country/BRA,WHO/dptv_Female
country/BRA,WHO/dptv_Male
country/BRA,WHO/dptv_Rural
country/BRA,WHO/dptv_Urban
country/BRA,WHO/fullv_Female
country/BRA,WHO/fullv_Male
country/BRA,WHO/fullv_Rural
country/BRA,WHO/fullv_Urban
country/BRA,WHO/mslv_Female
country/BRA,WHO/mslv_Male
country/BRA,WHO/mslv_Rural
country/BRA,WHO/mslv_Urban
country/BRA,WHO/poliov_Female
country/BRA,WHO/poliov_Male
country/BRA,WHO/poliov_Rural
country/BRA,WHO/poliov_Urban
country/BRA,eia/INTL.4008-8-MMTCD.A
country/IND,Amount_Consumption_Electricity_PerCapita
country/IND,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy
country/IND,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government
country/IND,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/IND,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person
country/IND,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government
country/IND,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/IND,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita
country/IND,Amount_Emissions_CarbonDioxide_PerCapita
country/IND,Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy
country/IND,Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy
country/IND,Amount_Remittance_InwardRemittance
country/IND,Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/IND,Amount_Remittance_OutwardRemittance
country/IND,Annual_Consumption_Electricity
country/IND,Annual_Consumption_Electricity_Agriculture
country/IND,Annual_Consumption_Electricity_CommerceAndPublicServices
country/IND,Annual_Consumption_Electricity_Households
country/IND,Annual_Consumption_Electricity_Manufacturing
country/IND,Annual_Consumption_Electricity_TransportIndustry
country/IND,Annual_Consumption_Fuel_HardCoal
country/IND,Annual_Consumption_Fuel_NaturalGas
country/IND,Annual_Consumption_Fuel_PetroleumCoke
country/IND,Annual_Generation_Energy_Solar
country/IND,Annual_Generation_Energy_Water
country/IND,Annual_Generation_Fuel_HardCoal
country/IND,Annual_Generation_Fuel_Nuclear
country/IND,Annual_Generation_Fuel_PetroleumCoke
country/IND,Count_CriminalActivities_MurderAndNonNegligentManslaughter_AsFractionOf_Count_Person
country/IND,Count_CycloneEvent
country/IND,Count_CycloneEvent_TropicalStorm
country/IND,Count_Death_AsAFractionOfCount_Person
country/IND,Count_Death_IntentionalSelfHarm_AsFractionOf_Count_Person
country/IND,Count_EarthquakeEvent
country/IND,Count_EarthquakeEvent_M5To6
country/IND,Count_EarthquakeEvent_M6To7
country/IND,Count_EarthquakeEvent_M7To8
country/IND,Count_Person
country/IND,Count_Person_BelowPovertyLevelInThePast12Months
country/IND,Count_Person_Female
country/IND,Count_Person_Illiterate
country/IND,Count_Person_InLaborForce
country/IND,Count_Person_Literate
country/IND,Count_Person_Male
country/IND,Count_Person_NonWorker
country/IND,Count_Person_PerArea
country/IND,Count_Person_Rural_BelowPovertyLevelInThePast12Months
country/IND,Count_Person_Urban_BelowPovertyLevelInThePast12Months
country/IND,Count_Product_MobileCellularSubscription_AsFractionOf_Count_Person
country/IND,CumulativeCount_MedicalConditionIncident_COVID_19_ConfirmedCase
country/IND,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased
country/IND,CumulativeCount_MedicalTest_ConditionCOVID_19
country/IND,CumulativeCount_Vaccine_COVID_19_Administered
country/IND,FertilityRate_Person_Female
country/IND,GiniIndex_EconomicActivity
country/IND,GrowthRate_Count_Person
country/IND,IncrementalCount_MedicalTest_ConditionCOVID_19
country/IND,IncrementalCount_Vaccine_COVID_19_Administered
country/IND,LifeExpectancy_Person
country/IND,LifeExpectancy_Person_Female
country/IND,LifeExpectancy_Person_Male
country/IND,Max_Temperature
country/IND,Mean_WagesMonthly_Worker
country/IND,Min_Temperature
country/IND,PrecipitationRate
country/IND,WHO/Adult_daily_tob_use
country/IND,WHO/CM_01
country/IND,WHO/CM_02
country/IND,WHO/CM_03
country/IND,WHO/GDO_q35
country/IND,WHO/MORT_MATERNALNUM
country/IND,WHO/M_Est_smk_daily
country/IND,WHO/NCD_BMI_18A
country/IND,WHO/NCD_BMI_30A
country/IND,WHO/NCD_PAC
country/IND,WHO/NTD_LEISHCNUM
country/IND,WHO/NTD_LEISHVNUM
country/IND,WHO/NTD_LEPR5
country/IND,WHO/NUTRITION_ANAEMIA_CHILDREN_PREV
country/IND,WHO/NUTRITION_WA_2
country/IND,WHO/NUTRITION_WH_2
country/IND,WHO/NUTRITION_WH_3
country/IND,WHO/SA_0000001418
country/IND,WHO/SA_0000001419
country/IND,WHO/SA_0000001420
country/IND,WHO/SA_0000001421
country/IND,WHO/SA_0000001422
country/IND,WHO/SA_0000001423
country/IND,WHO/SA_0000001424
country/IND,WHO/SA_0000001425
country/IND,WHO/SA_0000001426
country/IND,WHO/SA_0000001427
country/IND,WHO/SA_0000001429
country/IND,WHO/SA_0000001430
country/IND,WHO/SA_0000001431
country/IND,WHO/SA_0000001432
country/IND,WHO/SA_0000001433
country/IND,WHO/SA_0000001434
country/IND,WHO/SA_0000001435
country/IND,WHO/SA_0000001436
country/IND,WHO/SA_0000001437
country/IND,WHO/SA_0000001438
country/IND,WHO/SA_0000001439
country/IND,WHO/SA_0000001440
country/IND,WHO/SA_0000001441
country/IND,WHO/SA_0000001442
country/IND,WHO/SA_0000001443
country/IND,WHO/SA_0000001444
country/IND,WHO/SA_0000001445
country/IND,WHO/SA_0000001446
country/IND,WHO/SA_0000001448
country/IND,WHO/SA_0000001449
country/IND,WHO/SA_0000001450
country/IND,WHO/SA_0000001451
country/IND,WHO/SA_0000001452
country/IND,WHO/SA_0000001453
country/IND,WHO/SA_0000001454
country/IND,WHO/SA_0000001455
country/IND,WHO/SA_0000001689
country/IND,WHO/SA_0000001690
country/IND,WHO/SDG_SH_DTH_RNCOM_ChronicRespiratoryDiseases
country/IND,WHO/SDG_SH_DTH_RNCOM_DiabetesMellitus
country/IND,WHO/SDG_SH_DTH_RNCOM_MajorCardiovascularDiseases
country/IND,WHO/SDG_SH_DTH_RNCOM_MalignantNeoplasms
country/IND,WHO/WHS4_117
country/IND,WHO/WHS4_128
country/IND,WHO/WHS4_129
country/IND,WHO/WHS4_543
country/IND,WHO/WHS8_110
country/IND,WHO/bcgv_Female
country/IND,WHO/bcgv_Male
country/IND,WHO/bcgv_Rural
country/IND,WHO/bcgv_Urban
country/IND,WHO/dptv_Female
country/IND,WHO/dptv_Male
country/IND,WHO/dptv_Rural
country/IND,WHO/dptv_Urban
country/IND,WHO/fullv_Female
country/IND,WHO/fullv_Male
country/IND,WHO/fullv_Rural
country/IND,WHO/fullv_Urban
country/IND,WHO/mslv_Female
country/IND,WHO/mslv_Male
country/IND,WHO/mslv_Rural
country/IND,WHO/mslv_Urban
country/IND,WHO/poliov_Female
country/IND,WHO/poliov_Male
country/IND,WHO/poliov_Rural
country/IND,WHO/poliov_Urban
country/IND,eia/INTL.4008-8-MMTCD.A
country/IRN,Amount_Consumption_Electricity_PerCapita
country/IRN,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy
country/IRN,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_ExpenditureActivity_Government
country/IRN,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/IRN,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person
country/IRN,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government
country/IRN,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/IRN,Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/IRN,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita
country/IRN,Amount_Emissions_CarbonDioxide_PerCapita
country/IRN,Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy
country/IRN,Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy
country/IRN,Amount_Remittance_InwardRemittance
country/IRN,Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/IRN,Annual_Consumption_Electricity
country/IRN,Annual_Consumption_Electricity_Agriculture
country/IRN,Annual_Consumption_Electricity_CommerceAndPublicServices
country/IRN,Annual_Consumption_Electricity_Households
country/IRN,Annual_Consumption_Electricity_Manufacturing
country/IRN,Annual_Consumption_Electricity_TransportIndustry
country/IRN,Annual_Consumption_Fuel_HardCoal
country/IRN,Annual_Consumption_Fuel_NaturalGas
country/IRN,Annual_Generation_Energy_Solar
country/IRN,Annual_Generation_Energy_Water
country/IRN,Annual_Generation_Fuel_HardCoal
country/IRN,Annual_Generation_Fuel_Nuclear
country/IRN,Count_CriminalActivities_MurderAndNonNegligentManslaughter_AsFractionOf_Count_Person
country/IRN,Count_CycloneEvent
country/IRN,Count_CycloneEvent_TropicalStorm
country/IRN,Count_Death_AsAFractionOfCount_Person
country/IRN,Count_Death_IntentionalSelfHarm_AsFractionOf_Count_Person
country/IRN,Count_EarthquakeEvent
country/IRN,Count_EarthquakeEvent_M5To6
country/IRN,Count_EarthquakeEvent_M6To7
country/IRN,Count_EarthquakeEvent_M7To8
country/IRN,Count_Person
country/IRN,Count_Person_InLaborForce
country/IRN,Count_Product_MobileCellularSubscription_AsFractionOf_Count_Person
country/IRN,CumulativeCount_MedicalConditionIncident_COVID_19_ConfirmedCase
country/IRN,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased
country/IRN,CumulativeCount_MedicalTest_ConditionCOVID_19
country/IRN,CumulativeCount_Vaccine_COVID_19_Administered
country/IRN,FertilityRate_Person_Female
country/IRN,GiniIndex_EconomicActivity
country/IRN,GrowthRate_Count_Person
country/IRN,IncrementalCount_MedicalTest_ConditionCOVID_19
country/IRN,IncrementalCount_Vaccine_COVID_19_Administered
country/IRN,LifeExpectancy_Person
country/IRN,LifeExpectancy_Person_Female
country/IRN,LifeExpectancy_Person_Male
country/IRN,Max_Temperature
country/IRN,Min_Temperature
country/IRN,PrecipitationRate
country/IRN,WHO/CM_01
country/IRN,WHO/CM_02
country/IRN,WHO/CM_03
country/IRN,WHO/GDO_q35
country/IRN,WHO/MORT_MATERNALNUM
country/IRN,WHO/M_Est_smk_daily
country/IRN,WHO/NCD_BMI_18A
country/IRN,WHO/NCD_BMI_30A
country/IRN,WHO/NCD_PAC
country/IRN,WHO/NTD_LEISHCNUM
country/IRN,WHO/NTD_LEISHVNUM
country/IRN,WHO/NTD_LEPR5
country/IRN,WHO/NUTOVERWEIGHTPREV
country/IRN,WHO/NUTRITION_ANAEMIA_CHILDREN_PREV
country/IRN,WHO/NUTRITION_WA_2
country/IRN,WHO/NUTRITION_WH_2
country/IRN,WHO/NUTRITION_WH_3
country/IRN,WHO/NUTSTUNTINGPREV
country/IRN,WHO/SA_0000001418
country/IRN,WHO/SA_0000001419
country/IRN,WHO/SA_0000001420
country/IRN,WHO/SA_0000001421
country/IRN,WHO/SA_0000001422
country/IRN,WHO/SA_0000001423
country/IRN,WHO/SA_0000001424
country/IRN,WHO/SA_0000001425
country/IRN,WHO/SA_0000001426
country/IRN,WHO/SA_0000001427
country/IRN,WHO/SA_0000001429
country/IRN,WHO/SA_0000001430
country/IRN,WHO/SA_0000001431
country/IRN,WHO/SA_0000001432
country/IRN,WHO/SA_0000001433
country/IRN,WHO/SA_0000001434
country/IRN,WHO/SA_0000001435
country/IRN,WHO/SA_0000001436
country/IRN,WHO/SA_0000001437
country/IRN,WHO/SA_0000001438
country/IRN,WHO/SA_0000001439
country/IRN,WHO/SA_0000001440
country/IRN,WHO/SA_0000001441
country/IRN,WHO/SA_0000001442
country/IRN,WHO/SA_0000001443
country/IRN,WHO/SA_0000001444
country/IRN,WHO/SA_0000001445
country/IRN,WHO/SA_0000001446
country/IRN,WHO/SA_0000001448
country/IRN,WHO/SA_0000001449
country/IRN,WHO/SA_0000001450
country/IRN,WHO/SA_0000001451
country/IRN,WHO/SA_0000001452
country/IRN,WHO/SA_0000001453
country/IRN,WHO/SA_0000001454
country/IRN,WHO/SA_0000001455
country/IRN,WHO/SA_0000001689
country/IRN,WHO/SA_0000001690
country/IRN,WHO/SDG_SH_DTH_RNCOM_ChronicRespiratoryDiseases
country/IRN,WHO/SDG_SH_DTH_RNCOM_DiabetesMellitus
country/IRN,WHO/SDG_SH_DTH_RNCOM_MajorCardiovascularDiseases
country/IRN,WHO/SDG_SH_DTH_RNCOM_MalignantNeoplasms
country/IRN,WHO/WHS4_117
country/IRN,WHO/WHS4_128
country/IRN,WHO/WHS4_129
country/IRN,WHO/WHS4_543
country/IRN,WHO/WHS8_110
country/IRN,eia/INTL.4008-8-MMTCD.A
country/NGA,Amount_Consumption_Electricity_PerCapita
country/NGA,Amount_Consumption_RenewableEnergy_AsFractionOf_Amount_Consumption_Energy
country/NGA,Amount_EconomicActivity_ExpenditureActivity_EducationExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/NGA,Amount_EconomicActivity_ExpenditureActivity_HealthcareExpenditure_AsFractionOf_Count_Person
country/NGA,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government
country/NGA,Amount_EconomicActivity_ExpenditureActivity_MilitaryExpenditure_Government_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/NGA,Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/NGA,Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita
country/NGA,Amount_Emissions_CarbonDioxide_PerCapita
country/NGA,Amount_Production_ElectricityFromNuclearSources_AsFractionOf_Amount_Production_Energy
country/NGA,Amount_Production_ElectricityFromOilGasOrCoalSources_AsFractionOf_Amount_Production_Energy
country/NGA,Amount_Remittance_InwardRemittance
country/NGA,Amount_Remittance_InwardRemittance_AsFractionOf_Amount_EconomicActivity_GrossDomesticProduction_Nominal
country/NGA,Amount_Remittance_OutwardRemittance
country/NGA,Annual_Consumption_Electricity
country/NGA,Annual_Consumption_Electricity_CommerceAndPublicServices
country/NGA,Annual_Consumption_Electricity_Households
country/NGA,Annual_Consumption_Electricity_Manufacturing
country/NGA,Annual_Consumption_Fuel_HardCoal
country/NGA,Annual_Consumption_Fuel_NaturalGas
country/NGA,Annual_Generation_Energy_Solar
country/NGA,Annual_Generation_Energy_Water
country/NGA,Annual_Generation_Fuel_HardCoal
country/NGA,Annual_Generation_Fuel_PetroleumCoke
country/NGA,Count_CriminalActivities_MurderAndNonNegligentManslaughter_AsFractionOf_Count_Person
country/NGA,Count_Death_AsAFractionOfCount_Person
country/NGA,Count_Death_IntentionalSelfHarm_AsFractionOf_Count_Person
country/NGA,Count_EarthquakeEvent
country/NGA,Count_Person
country/NGA,Count_Person_InLaborForce
country/NGA,Count_Product_MobileCellularSubscription_AsFractionOf_Count_Person
country/NGA,CumulativeCount_MedicalConditionIncident_COVID_19_ConfirmedCase
country/NGA,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased
country/NGA,CumulativeCount_MedicalTest_ConditionCOVID_19
country/NGA,CumulativeCount_Vaccine_COVID_19_Administered
country/NGA,FertilityRate_Person_Female
country/NGA,GiniIndex_EconomicActivity
country/NGA,GrowthRate_Count_Person
country/NGA,IncrementalCount_MedicalTest_ConditionCOVID_19
country/NGA,IncrementalCount_Vaccine_COVID_19_Administered
country/NGA,LifeExpectancy_Person
country/NGA,LifeExpectancy_Person_Female
country/NGA,LifeExpectancy_Person_Male
country/NGA,Max_Temperature
country/NGA,Min_Temperature
country/NGA,PrecipitationRate
country/NGA,WHO/CM_01
country/NGA,WHO/CM_02
country/NGA,WHO/CM_03
country/NGA,WHO/GDO_q35
country/NGA,WHO/MORT_MATERNALNUM
country/NGA,WHO/M_Est_smk_daily
country/NGA,WHO/NCD_BMI_18A
country/NGA,WHO/NCD_BMI_30A
country/NGA,WHO/NCD_PAC
country/NGA,WHO/NTD_1
country/NGA,WHO/NTD_4
country/NGA,WHO/NTD_LEISHCNUM
country/NGA,WHO/NTD_LEISHVNUM
country/NGA,WHO/NTD_LEPR5
country/NGA,WHO/NUTOVERWEIGHTPREV
country/NGA,WHO/NUTRITION_ANAEMIA_CHILDREN_PREV
country/NGA,WHO/NUTRITION_WA_2
country/NGA,WHO/NUTRITION_WH_2
country/NGA,WHO/NUTRITION_WH_3
country/NGA,WHO/NUTSTUNTINGPREV
country/NGA,WHO/SA_0000001418
country/NGA,WHO/SA_0000001419
country/NGA,WHO/SA_0000001420
country/NGA,WHO/SA_0000001421
country/NGA,WHO/SA_0000001422
country/NGA,WHO/SA_0000001423
country/NGA,WHO/SA_0000001424
country/NGA,WHO/SA_0000001425
country/NGA,WHO/SA_0000001426
country/NGA,WHO/SA_0000001427
country/NGA,WHO/SA_0000001429
country/NGA,WHO/SA_0000001430
country/NGA,WHO/SA_0000001431
country/NGA,WHO/SA_0000001432
country/NGA,WHO/SA_0000001433
country/NGA,WHO/SA_0000001434
country/NGA,WHO/SA_0000001435
country/NGA,WHO/SA_0000001436
country/NGA,WHO/SA_0000001437
country/NGA,WHO/SA_0000001438
country/NGA,WHO/SA_0000001439
country/NGA,WHO/SA_0000001440
country/NGA,WHO/SA_0000001441
country/NGA,WHO/SA_0000001442
country/NGA,WHO/SA_0000001443
country/NGA,WHO/SA_0000001444
country/NGA,WHO/SA_0000001445
country/NGA,WHO/SA_0000001446
country/NGA,WHO/SA_0000001448
country/NGA,WHO/SA_0000001449
country/NGA,WHO/SA_0000001450
country/NGA,WHO/SA_0000001451
country/NGA,WHO/SA_0000001452
country/NGA,WHO/SA_0000001453
country/NGA,WHO/SA_0000001454
country/NGA,WHO/SA_0000001455
country/NGA,WHO/SA_0000001689
country/NGA,WHO/SA_0000001690
country/NGA,WHO/SDG_SH_DTH_RNCOM_ChronicRespiratoryDiseases
country/NGA,WHO/SDG_SH_DTH_RNCOM_DiabetesMellitus
country/NGA,WHO/SDG_SH_DTH_RNCOM_MajorCardiovascularDiseases
country/NGA,WHO/SDG_SH_DTH_RNCOM_MalignantNeoplasms
country/NGA,WHO/WHS4_117
country/NGA,WHO/WHS4_128
country/NGA,WHO/WHS4_129
country/NGA,WHO/WHS4_543
country/NGA,WHO/WHS8_110
country/NGA,WHO/bcgv_Female
country/NGA,WHO/bcgv_Male
country/NGA,WHO/bcgv_Rural
